race_id,umaban_1,umaban_2,p_top3_1,p_top3_2,p_hit,odds,ev,bet_type,hit_prob,pair_balance_score,priority_score,stake,place_ui,race_ui,race_no,wide_ui,is_nonstarter_1,is_nonstarter_2,is_nonstarter,return_amount,hit_flag,hit_status,roi,bet_score,selection_ui,max_ev,race_score,difficulty_score,comment,race_label_ui
202608020702,1,8,0.2380232920478027,0.0808287708479778,0.0143305145964224,3.4,-0.9570084562107326,wide,0.0143305145964224,0.1231568145438321,0.0156541899927744,2936,中京（日）,2R,2,1-8,0,0,0,,,未確定,,0.9627718285327226,1-8,-0.9570084562107326,0.8138591426636133,0.4378665628089174,"勝負度が非常に高いレースです。 比較的堅めの決着が期待できます。 本命は 1-8。 EV=-0.96, p_hit=0.014 とバランスが良好です。 次点候補は 1-4。 EV=-0.98。 適度なリスクで、標準的な賭け方が適しています。",中京2R
202608020702,1,4,0.2380232920478027,0.0392164528479496,0.0058028280769355,2.9,-0.9825915157691936,wide,0.0058028280769355,0.1488032439542845,0.0064504378084032,1189,中京（日）,2R,2,1-4,0,0,0,,,未確定,,0.5462214998864716,1-4,-0.9570084562107326,0.8138591426636133,0.4378665628089174,"勝負度が非常に高いレースです。 比較的堅めの決着が期待できます。 本命は 1-8。 EV=-0.96, p_hit=0.014 とバランスが良好です。 次点候補は 1-4。 EV=-0.98。 適度なリスクで、標準的な賭け方が適しています。",中京2R
202608020703,10,6,0.1048040852152402,0.1023682928451473,0.0069057298698133,6.9,-0.97928281039056,wide,0.0069057298698133,0.0017273242354577,0.006914676195739,1415,中京（日）,3R,3,10-6,0,0,0,,,未確定,,0.5253518794371388,10-6,-0.97928281039056,0.4401448393740417,0.4013072024842384,"やや勝負度があるレースです。 比較的堅めの決着が期待できます。 本命は 10-6。 EV=-0.98, p_hit=0.007 とバランスが良好です。 次点候補は 10-2。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",中京3R
202608020703,10,2,0.1048040852152402,0.0498458661786849,0.0028089188601444,5.1,-0.9915732434195668,wide,0.0028089188601444,0.0360786236452634,0.0028849253049483,575,中京（日）,3R,3,10-2,0,0,0,,,未確定,,0.3252357085882792,10-2,-0.97928281039056,0.4401448393740417,0.4013072024842384,"やや勝負度があるレースです。 比較的堅めの決着が期待できます。 本命は 10-6。 EV=-0.98, p_hit=0.007 とバランスが良好です。 次点候補は 10-2。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",中京3R
202608020105,4,2,0.1370844815231309,0.0739448842288305,0.0064328071168965,2.9,-0.9807015786493104,wide,0.0064328071168965,0.0448534773394076,0.0066492074430814,1318,札幌（日）,5R,5,4-2,0,0,0,,,未確定,,0.4982827753564873,4-2,-0.9807015786493104,0.4203031708663845,0.3942831081983801,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 4-2。 EV=-0.98, p_hit=0.006 とバランスが良好です。 次点候補は 3-4。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",札幌5R
202608020105,3,4,0.0344630313304479,0.1370844815231309,0.0024771779552008,4.0,-0.9925684661343974,wide,0.0024771779552008,0.068564495710439,0.0026045627981633,507,札幌（日）,5R,5,3-4,0,0,0,,,未確定,,0.3050628881641327,3-4,-0.9807015786493104,0.4203031708663845,0.3942831081983801,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 4-2。 EV=-0.98, p_hit=0.006 とバランスが良好です。 次点候補は 3-4。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",札幌5R
202608020711,4,5,0.0987369596137863,0.0457546032814722,0.0023424653515085,2.0,-0.9929726039454744,wide,0.0023424653515085,0.0341863579505488,0.0024025256207536,480,中京（日）,11R,11,4-5,0,0,0,,,未確定,,0.2660859239725229,4-5,-0.9929726039454744,0.2583197582871465,0.1947716797715761,"勝負度は低めで、慎重に扱いたいレースです。 堅い決着が見込まれるレースです。 本命は 4-5。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 4-6。 EV=-0.99。 比較的リスクが低く、厚めに張る選択肢もあります。",中京11R
202608020711,4,6,0.0987369596137863,0.035144438563009,0.0016844202170633,2.1,-0.99494673934881,wide,0.0016844202170633,0.040131003970527,0.0017351183228775,345,中京（日）,11R,11,4-6,0,0,0,,,未確定,,0.2339425148086382,4-6,-0.9929726039454744,0.2583197582871465,0.1947716797715761,"勝負度は低めで、慎重に扱いたいレースです。 堅い決着が見込まれるレースです。 本命は 4-5。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 4-6。 EV=-0.99。 比較的リスクが低く、厚めに張る選択肢もあります。",中京11R
202608020706,6,3,0.1895051633778857,0.0189505601449113,0.0017582631307092,2.4,-0.9947252106078724,wide,0.0017582631307092,0.1180023078298225,0.001913872461106,360,中京（日）,6R,6,6-3,0,0,0,,,未確定,,0.2318073140624942,6-3,-0.9947252106078724,0.2296087987233927,0.3123386186645637,"勝負度は低めで、慎重に扱いたいレースです。 堅い決着が見込まれるレースです。 本命は 6-3。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 4-6。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",中京6R
202608020706,4,6,0.018932475948331,0.1895051633778857,0.0017561660302767,1.5,-0.9947315019091696,wide,0.0017561660302767,0.1180106939855871,0.0019116008092669,359,中京（日）,6R,6,4-6,0,0,0,,,未確定,,0.2317048773849336,4-6,-0.9947252106078724,0.2296087987233927,0.3123386186645637,"勝負度は低めで、慎重に扱いたいレースです。 堅い決着が見込まれるレースです。 本命は 6-3。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 4-6。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",中京6R
